Source Name	Characteristics[cell line]	Characteristics[organism part]	Characteristics[disease]	Characteristics[age]	Characteristics[sex]	Characteristics[ethnicity]
Sample 1	A2780	ovary	ovarian carcinoma	not available	female	not available
Sample 2	COLO 679	skin	melanoma	47	female	not available
Sample 3	COLO 800	skin	melanoma	14	male	not available
Sample 4	COLO 849	skin	metastatic melanoma	43	male	Caucasian
Sample 5	Hs 852.T	skin	melanoma	not available	not available	not available
Sample 6	IPC-298	skin	melanoma	64	female	not available
Sample 7	MEL-HO	skin	melanoma	not available	female	not available
Sample 8	SK-MEL-1	skin	metastatic melanoma	29	male	Caucasian
Sample 9	SK-MEL-30	skin	melanoma	67	male	Caucasian
Sample 10	Hs 936.T	skin	melanoma	not available	not available	not available
Sample 11	AGS	stomach	gastric adenocarcinoma	not available	not available	not available
Sample 12	NCI-N87	stomach	gastric carcinoma	not available	not available	not available
Sample 13	SNU-1	stomach	gastric carcinoma	not available	not available	not available
Sample 14	SNU-5	stomach	gastric carcinoma	not available	not available	not available
Sample 15	SNU-16	stomach	gastric carcinoma	33	female	not available
Sample 16	Hs 746T	stomach	gastric carcinoma	not available	not available	not available
Sample 17	23132/87	stomach	gastric adenocarcinoma	72	male	not available
Sample 18	GTL-16	stomach	gastric adenocarcinoma	62	female	not available
Sample 19	OCUM-1	stomach	gastric adenocarcinoma	38	not available	Japanese
Sample 20	MKN-1	stomach	gastric adenosquamous carcinoma	72	male	not available
Sample 21	MKN-74	stomach	gastric adenocarcinoma	37	male	Japanese
Sample 22	NUGC-2	stomach	gastric adenocarcinoma	56	female	not available
Sample 23	NUGC-3	stomach	gastric adenocarcinoma	72	male	not available
Sample 24	NUGC-4	stomach	gastric adenocarcinoma	35	female	not available
Sample 25	RERF-GC-1B	stomach	gastric carcinoma	41	male	Japanese
Sample 26	FU97	stomach	gastric adenocarcinoma	66	male	Japanese
Sample 27	IM-95	stomach	gastric adenocarcinoma	not available	not available	not available
Sample 28	SNU-601	stomach	gastric carcinoma	34	male	not available
Sample 29	Daudi	blood	malignant Burkitt's lymphoma	not available	not available	not available
Sample 30	HEL	blood	erythroleukemia	30	male	not available
Sample 31	HNT-34	blood	acute myeloid leukemia	47	female	not available
Sample 32	KG-1	blood	leukemia	not available	not available	not available
Sample 33	ME-1	bone marrow	acute myelogenic leukemia	40	male	Japanese
Sample 34	MOLM-16	blood	acute myeloid leukemia	not available	female	Japanese
Sample 35	MV-4-11	blood	acute myeloid leukemia	10	male	not available
Sample 36	OCI-AML2	blood	acute myeloid leukemia	not available	not available	not available
Sample 37	OCI-AML3	blood	acute myeloid leukemia	not available	not available	not available
Sample 38	OCI-AML5	blood	acute myeloid leukemia	77	male	not available
Sample 39	OCI-M1	blood	acute myeloid leukemia	not available	not available	not available
Sample 40	OCI-M2	blood	acute myeloid leukemia	not available	not available	not available
Sample 41	SKM-1	blood	myelodysplasia	not available	not available	not available
Sample 42	SUP-B15	blood	acute lymphoblastic leukemia	not available	not available	not available
Sample 43	BT-20	breast	breast carcinoma	74	female	Caucasian
Sample 44	BT-474	breast	breast ductal adenocarcinoma	60	female	Caucasian
Sample 45	BT-483	breast	breast ductal adenocarcinoma	23	female	Caucasian
Sample 46	BT-549	breast	breast ductal adenocarcinoma	72	female	Caucasian
Sample 47	CAL-120	breast	breast adenocarcinoma	43	female	not available
Sample 48	CAL-148	breast	breast adenocarcinoma	58	female	not available
Sample 49	CAL-85-1	breast	breast adenocarcinoma	35	female	not available
Sample 50	CAMA-1	breast	breast adenocarcinoma	51	female	Caucasian
Sample 51	EFM-19	breast	breast carcinoma	50	female	Caucasian
Sample 52	EFM-192A	breast	breast adenocarcinoma	46	female	Caucasian
Sample 53	EVSA-T	breast	breast carcinoma	not available	not available	not available
Sample 54	HCC1143	breast	breast ductal adenocarcinoma	52	female	Caucasian
Sample 55	HCC1187	breast	breast ductal adenocarcinoma	41	female	Caucasian
Sample 56	HCC1395	breast	breast ductal adenocarcinoma	43	female	Caucasian
Sample 57	HCC1419	breast	breast ductal adenocarcinoma	42	female	Hispanic
Sample 58	HCC1428	breast	breast adenocarcinoma	49	female	Caucasian
Sample 59	HCC1500	breast	breast ductal adenocarcinoma	32	female	African
Sample 60	HCC1569	breast	breast metaplastic carcinoma	70	female	African
Sample 61	HCC1599	breast	breast ductal adenocarcinoma	44	female	Caucasian
Sample 62	HCC1806	breast	breast squamous cell carcinoma	60	female	African
Sample 63	HCC1937	breast	breast ductal adenocarcinoma	23	female	Caucasian
Sample 64	HCC1954	breast	breast ductal adenocarcinoma	61	female	East Indian
Sample 65	HCC202	breast	breast ductal adenocarcinoma	82	not available	Caucasian
Sample 66	HCC2218	breast	breast ductal adenocarcinoma	38	female	Caucasian
Sample 67	HCC38	breast	breast ductal adenocarcinoma	50	female	Caucasian
Sample 68	HCC70	breast	breast ductal adenocarcinoma	49	female	African
Sample 69	Hs 578T	breast	breast carcinoma	74	female	Caucasian
Sample 70	JIMT-1	breast	breast ductal adenocarcinoma	62	female	not available
Sample 71	KPL-1	breast	breast ductal adenocarcinoma	not available	female	not available
Sample 72	KPL-4	breast	breast ductal adenocarcinoma	52	female	Japanese
Sample 73	MCF 10A	breast	breast fibrocystic disease	not available	female	Caucasian
Sample 74	MCF-7	breast	breast adenocarcinoma	40	female	Caucasian
Sample 75	MDA-MB-157	breast	breast medullary carcinoma	44	female	African
Sample 76	MDA-MB-231	breast	breast adenocarcinoma	51	female	Caucasian
Sample 77	MDA-MB-330	breast	breast carcinoma	43	female	Caucasian
Sample 78	MDA-MB-415	breast	breast adenocarcinoma	38	female	not available
Sample 79	MDA-MB-436	breast	breast adenocarcinoma	43	female	Caucasian
Sample 80	MDA-MB-453	breast	breast carcinoma	not available	female	Caucasian
