gene_name	gene_id
LOC100288966	100288966
LOC100134409	100134409
LOC100507395	100507395
LOC100507412	100507412
RN18S1	100008588
RN5-8S1	100008587
RN28S1	100008589
LOC100507327	100507327
LOC283788	283788
LOC100505874	100505874
LINC00281	26080
LOC100233156	100233156
LOC389834	389834
LOC100653251	100653251
FLJ43315	644316
LOC644339	644339
LOC100289026	100289026
LOC100653067	100653067
LOC100653052	100653052
LOC100287534	100287534
KIR3DS1	3813
KIR2DL5A	57292
KIR2DS3	3808
KIR2DL5B	553128
KIR2DS5	3810
KIR2DS1	3806
KIR2DS2	100132285
LOC100134167	100134167
HYDIN2	100288805
MGC39584	441058
LOC100133140	100133140
LOC389831	389831
LOC645561	645561
LOC100652790	100652790
LOC100653268	100653268
ROCK1P1	727758
USP14	9097
THOC1	9984
COLEC12	81035
CETN1	1068
CLUL1	27098
C18orf56	494514
TYMS	7298
ENOSF1	55556
YES1	7525
ADCYAP1	116
LINC00470	56651
LOC100652823	100652823
LOC100653102	100653102
METTL4	64863
NDC80	10403
CBX3P2	645158
SMCHD1	23347
EMILIN2	84034
LPIN2	9663
LOC727896	727896
MYOM1	8736
MYL12A	10627
LOC100505577	100505577
MYL12B	103910
TGIF1	7050
LOC100505592	100505592
DLGAP1	9229
FLJ35776	649446
MGC11082	84777
LOC201477	201477
LOC284215	284215
C18orf42	642597
LINC00526	147525
LOC339290	339290
ZFP161	7541
EPB41L3	23136
LOC645355	645355
MIR3976	100616244
TMEM200C	645369
L3MBTL4	91133
MIR4317	100422840
LOC100130480	100130480
LOC100508177	100508177
ARHGAP28	79822
LOC400643	400643
LAMA1	284217
LRRC30	339291
PTPRM	5797
LOC100192426	100192426
RAB12	201475
LOC100287082	100287082
CCDC165	23255
NDUFV2	4729
ANKRD12	23253
TWSG1	57045
RALBP1	10928
PPP4R1	9989
RAB31	11031
TXNDC2	84203
VAPA	9218
APCDD1	147495
NAPG	8774
PIEZO2	63895
SLC35G4	646000
LOC100509487	100509487
GNAL	2774
CHMP1B	57132
MPPE1	65258
IMPA2	3613
ANKRD62	342850
SDHDP1	100289186
C18orf61	497259
CIDEA	1149
TUBB6	84617
AFG3L2	10939
SLMO1	10650
SPIRE1	56907
PSMG2	56984
CEP76	79959
PTPN2	5771
SEH1L	81929
CEP192	55125
C18orf1	753
LOC100288122	100288122
MIR4526	100616130
FAM210A	125228
RNMT	8731
MC5R	4161
MC2R	4158
ZNF519	162655
ANKRD20A5P	440482
LOC100652806	100652806
LOC100653277	100653277
CYP4F35P	284233
CXADRP3	440224
POTEC	388468
ANKRD30B	374860
MIR3156-2	100422907
LOC644669	644669
ROCK1	6093
GREB1L	80000
ESCO1	114799
SNRPD1	6632
ABHD3	171586
MIR320C1	100302135
MIB1	57534
MIR133A1	406922
MIR1-2	406905
LOC100128893	100128893
GATA6	2627
CTAGE1	64693
RBBP8	5932
MIR4741	100616139
CABLES1	91768
TMEM241	85019
RIOK3	8780
C18orf8	29919
NPC1	4864
ANKRD29	147463
LAMA3	3909
TTC39C	125488
CABYR	26256
OSBPL1A	114876
MIR320C2	100302195
IMPACT	55364
HRH4	59340
LOC729950	729950
ZNF521	25925
SS18	6760
PSMA8	143471
TAF4B	6875
LOC100506787	100506787
KCTD1	284252
LOC728606	728606
AQP4	361
CHST9-AS1	147429
CHST9	83539
RBM22P1	400645
CDH2	1000
MIR302F	100302131
DSC3	1825
DSC2	1824
DSC1	1823
DSG1	1828
DSG4	147409
DSG3	1830
DSG2	1829
LOC100653299	100653299
LOC100652770	100652770
TTR	7276
B4GALT6	9331
LOC646778	646778
MCART2	147407
TRAPPC8	22878
RNF125	54941
RNF138	51444
MEP1B	4225
FAM59A	64762
WBP11P1	441818
KLHL14	57565
C18orf34	374864
ASXL3	80816
NOL4	8715
DTNA	1837
MAPRE2	10982
ZNF397	84307
ZSCAN30	100101467
ZNF271	10778
ZNF24	7572
ZNF396	252884
INO80C	125476
MIR3975	100616257
GALNT1	2589
MIR187	406963
MIR3929	100500864
C18orf21	83608
RPRD1A	55197
SLC39A6	25800
ELP2	55250
MOCOS	55034
FHOD3	80206
TPGS2	25941
